00000225) perceptual - 88.46239; equivariance_value - 0.17597; equivariance_jacobian - 0.45680
00000226) perceptual - 88.89059; equivariance_value - 0.17885; equivariance_jacobian - 0.46331
00000227) perceptual - 89.52007; equivariance_value - 0.17730; equivariance_jacobian - 0.46069
00000228) perceptual - 88.73000; equivariance_value - 0.17789; equivariance_jacobian - 0.46009
00000229) perceptual - 88.78009; equivariance_value - 0.17512; equivariance_jacobian - 0.45344
00000230) perceptual - 90.52616; equivariance_value - 0.17883; equivariance_jacobian - 0.46178
00000231) perceptual - 88.53815; equivariance_value - 0.17810; equivariance_jacobian - 0.45429
00000232) perceptual - 89.23007; equivariance_value - 0.18052; equivariance_jacobian - 0.46589
00000233) perceptual - 89.46604; equivariance_value - 0.17630; equivariance_jacobian - 0.44967
00000234) perceptual - 90.63894; equivariance_value - 0.17709; equivariance_jacobian - 0.45922
00000235) perceptual - 89.28999; equivariance_value - 0.17684; equivariance_jacobian - 0.45268
00000236) perceptual - 89.31930; equivariance_value - 0.17615; equivariance_jacobian - 0.45424
00000237) perceptual - 89.23750; equivariance_value - 0.17516; equivariance_jacobian - 0.45548
00000238) perceptual - 87.61485; equivariance_value - 0.17548; equivariance_jacobian - 0.46024
00000239) perceptual - 87.93024; equivariance_value - 0.17579; equivariance_jacobian - 0.45409
00000240) perceptual - 87.83695; equivariance_value - 0.17640; equivariance_jacobian - 0.45901
00000241) perceptual - 87.95944; equivariance_value - 0.17638; equivariance_jacobian - 0.45212
00000242) perceptual - 88.99132; equivariance_value - 0.17530; equivariance_jacobian - 0.45068
00000243) perceptual - 88.91688; equivariance_value - 0.17768; equivariance_jacobian - 0.46207
00000244) perceptual - 88.79266; equivariance_value - 0.17878; equivariance_jacobian - 0.45229
00000245) perceptual - 88.54032; equivariance_value - 0.17405; equivariance_jacobian - 0.45256
00000246) perceptual - 88.72201; equivariance_value - 0.17660; equivariance_jacobian - 0.44913
00000247) perceptual - 88.46790; equivariance_value - 0.17647; equivariance_jacobian - 0.45627
00000248) perceptual - 88.88255; equivariance_value - 0.17906; equivariance_jacobian - 0.45788
00000249) perceptual - 89.19925; equivariance_value - 0.17703; equivariance_jacobian - 0.45842
